"N Saini","caught",5
"YV Takawale","lbw",2
"MEK Hussey","run out",5
"M de Lange","caught",1
"F du Plessis","stumped",6
"DJM Short","caught",4
"M Manhas","caught",14
"KC Cariappa","bowled",3
"MJ McClenaghan","run out",1
"DJ Thornely","bowled",1
"RA Tripathi","caught",24
"T Henderson","bowled",1
"SPD Smith","caught and bowled",3
"B Laughlin","caught",1
"AUK Pathan","caught",2
"RA Jadeja","bowled",16
"RJ Harris","bowled",2
"SP Narine","lbw",1
"M Manhas","run out",3
"RA Jadeja","caught",53
"BJ Hodge","bowled",9
"CH Gayle","caught and bowled",3
"CJ Jordan","caught",2
"RT Ponting","stumped",1
"V Kohli","stumped",3
"M Vohra","caught",22
"S Lamichhane","bowled",1
"S Aravind","lbw",1
"JJ Bumrah","caught",2
"JC Buttler","lbw",3
"AC Voges","run out",2
"S Badrinath","run out",5
"Ishan Kishan","run out",3
"Mohammed Siraj","caught",1
"K Rabada","run out",1
"Mohammed Siraj","lbw",1
"MC Henriques","caught and bowled",3
"CL White","caught",22
"KL Nagarkoti","bowled",2
"CJ Anderson","stumped",3
"Z Khan","caught",6
"M Kaif","caught and bowled",1
"K Goel","caught",7
"LR Shukla","run out",4
"STR Binny","bowled",6
"P Ray Barman","caught",1
"JP Duminy","bowled",10
"RN ten Doeschate","lbw",5
